OS,Scene,Algorithm,Time
LinuxHW,pbrt-book,sinc,2572.8
LinuxHW,sssdragon,bvh,2417.8
LinuxHW,sssdragon,kdtree,4617.9
LinuxHW,sssdragon,mitchell,2427.8
LinuxHW,sssdragon,sinc,2492.8
Windows,coffee-splash,bvh,1956.9
Windows,coffee-splash,kdtree,2308.5
Windows,coffee-splash,mitchell,1987.2
Windows,coffee-splash,sinc,2016.8
Windows,ganesha,bvh,739.8
Windows,ganesha,kdtree,986.6
Windows,ganesha,mitchell,744.6
Windows,ganesha,sinc,785.2
Windows,pbrt-book,bvh,2331.5
Windows,pbrt-book,kdtree,2317.6
Windows,pbrt-book,mitchell,2331.4
Windows,pbrt-book,sinc,2457.2
Windows,sssdragon,bvh,1971.3
Windows,sssdragon,kdtree,4162.8
Windows,sssdragon,mitchell,1901.4
Windows,sssdragon,sinc,2067.2
WSL,coffee-splash,bvh,1374.2
WSL,coffee-splash,kdtree,1665.6
WSL,coffee-splash,mitchell,1394.6
WSL,coffee-splash,sinc,1434.5
WSL,ganesha,bvh,616.5
WSL,ganesha,kdtree,797.4
WSL,ganesha,mitchell,616.4
WSL,ganesha,sinc,642
WSL,pbrt-book,bvh,1814.2
WSL,pbrt-book,kdtree,1809.3
WSL,pbrt-book,mitchell,1778.9
WSL,pbrt-book,sinc,1899.8
WSL,sssdragon,bvh,1806.1
WSL,sssdragon,kdtree,3421
WSL,sssdragon,mitchell,1816.3
WSL,sssdragon,sinc,1841.2
LinuxVM,coffee-splash,bvh,1624.9
LinuxVM,coffee-splash,kdtree,1935.1
LinuxVM,coffee-splash,mitchell,1624.5
LinuxVM,coffee-splash,sinc,1654.2
LinuxVM,ganesha,bvh,713.7
LinuxVM,ganesha,kdtree,949.1
LinuxVM,ganesha,mitchell,719.4
LinuxVM,ganesha,sinc,743.6
LinuxVM,pbrt-book,bvh,2028.5
LinuxVM,pbrt-book,kdtree,2039.5
LinuxVM,pbrt-book,mitchell,2074.1
LinuxVM,pbrt-book,sinc,2144.5
LinuxVM,sssdragon,bvh,2130
LinuxVM,sssdragon,kdtree,4065.6
LinuxVM,sssdragon,mitchell,2121.3
LinuxVM,sssdragon,sinc,2174.9
macOS,coffee-splash,bvh,1185.1
macOS,coffee-splash,kdtree,1455.3
macOS,coffee-splash,mitchell,1195.2
macOS,coffee-splash,sinc,1240.3
macOS,ganesha,bvh,549.6
macOS,ganesha,kdtree,739.8
macOS,ganesha,mitchell,539.5
macOS,ganesha,sinc,584.2
macOS,pbrt-book,bvh,1610.1
macOS,pbrt-book,kdtree,1610.4
macOS,pbrt-book,mitchell,1665.3
macOS,pbrt-book,sinc,1735.5
macOS,sssdragon,bvh,1540.3
macOS,sssdragon,kdtree,3071.5
macOS,sssdragon,mitchell,1564.8
macOS,sssdragon,sinc,1615.4
LinuxHW,coffee-splash,bvh,1692.9
LinuxHW,coffee-splash,kdtree,2252.9
LinuxHW,coffee-splash,mitchell,1872.8
LinuxHW,coffee-splash,sinc,2097.9
LinuxHW,ganesha,bvh,887.7
LinuxHW,ganesha,kdtree,1107.7
LinuxHW,ganesha,mitchell,882.7
LinuxHW,ganesha,sinc,922.8
LinuxHW,pbrt-book,bvh,2427.9
LinuxHW,pbrt-book,kdtree,2502.9
LinuxHW,pbrt-book,mitchell,2367.7
LinuxHW,pbrt-book,sinc,2802.9
LinuxHW,sssdragon,bvh,2417.8
LinuxHW,sssdragon,kdtree,5208.3
LinuxHW,sssdragon,mitchell,2583
LinuxHW,sssdragon,sinc,2452.9
Windows,coffee-splash,bvh,1975.9
Windows,coffee-splash,kdtree,2337.6
Windows,coffee-splash,mitchell,2000.8
Windows,coffee-splash,sinc,2031.3
Windows,ganesha,bvh,744
Windows,ganesha,kdtree,1005.9
Windows,ganesha,mitchell,753.6
Windows,ganesha,sinc,793.8
Windows,pbrt-book,bvh,2339.9
